Year,Month,Region,Model,Estimated_Deliveries,Production_Units,Avg_Price_USD,Battery_Capacity_kWh,Range_km,CO2_Saved_tons,Source_Type,Charging_Stations
2020,3,Europe,Model X,6591,7080,56028.13,100,577,570.45,Official (Quarter),9033
2024,12,North America,Cybertruck,10873,12142,67409.5,120,700,1141.66,Estimated (Region),13826
2016,11,Asia,Model S,15062,16535,109192.31,60,350,790.75,Official (Quarter),8159
2024,9,Europe,Model 3,14493,16180,87455.16,100,589,1280.46,Official (Quarter),10149
2018,4,Middle East,Model Y,15674,17727,119689.82,100,579,1361.29,Estimated (Region),12749
2018,9,North America,Model 3,11480,12317,57630.95,75,421,724.96,Official (Quarter),6803
2021,7,Asia,Model X,5107,5575,98722.2,120,680,520.91,Official (Quarter),4295
2020,11,Middle East,Cybertruck,10833,11738,67921.48,120,699,1135.84,Estimated (Region),4395
2017,1,Europe,Model 3,2425,2452,85043.7,100,589,214.25,Interpolated (Month),11485
2021,4,Asia,Model Y,1178,1245,59860.8,120,697,123.16,Estimated (Region),11746
2024,1,Asia,Model Y,7061,7806,68208.12,82,489,517.92,Estimated (Region),9361
2016,11,North America,Model Y,10587,10768,76868.72,75,429,681.27,Estimated (Region),7428
2017,6,Middle East,Cybertruck,12970,13984,54792.11,100,568,1105.04,Official (Quarter),14049
2016,5,North America,Cybertruck,16123,16490,54294.47,75,441,1066.54,Official (Quarter),8517
2018,6,North America,Model 3,10312,10533,60601.19,75,428,662.03,Estimated (Region),10148
2017,11,Middle East,Model S,11833,13467,52804.14,82,462,820.03,Estimated (Region),5490
2020,6,Asia,Model Y,5283,6019,76849.72,82,471,373.24,Estimated (Region),13754
2019,2,Europe,Model 3,8446,8703,103834.28,100,571,723.4,Estimated (Region),9784
2024,6,North America,Model Y,11466,12672,102943.23,60,353,607.12,Estimated (Region),8734
2019,10,Asia,Model 3,11179,12250,66497.78,75,439,736.14,Interpolated (Month),13484
2024,6,Asia,Model 3,6370,7253,107838.04,75,425,406.09,Interpolated (Month),6269
2016,1,Middle East,Cybertruck,11583,13270,62668.39,120,711,1235.33,Estimated (Region),8907
2015,5,Middle East,Model 3,14717,16896,60529.18,100,579,1278.17,Official (Quarter),7570
2016,1,Asia,Model 3,11696,12851,84873.7,100,577,1012.29,Interpolated (Month),11630
2023,10,North America,Cybertruck,11110,11165,56375.91,75,414,689.93,Official (Quarter),7016
2017,3,Europe,Model Y,9278,10038,80297.12,60,331,460.65,Interpolated (Month),4988
2020,11,Asia,Model X,4025,4178,107759.44,60,344,207.69,Estimated (Region),9520
2017,9,Asia,Cybertruck,12488,13915,52725.66,120,710,1329.97,Official (Quarter),10434
2024,9,Middle East,Cybertruck,5699,5706,117904.02,100,571,488.12,Official (Quarter),14632
2023,3,Europe,Model 3,7479,7943,66291.12,82,471,528.39,Official (Quarter),13469
2024,12,Asia,Cybertruck,6440,7318,95446.99,82,454,438.56,Official (Quarter),4624
2023,6,Europe,Cybertruck,14025,15507,56943.62,120,714,1502.08,Interpolated (Month),5580
2022,10,Europe,Model S,10973,11389,86218.09,75,413,679.78,Estimated (Region),6174
2019,4,Asia,Cybertruck,1912,1967,71662.87,82,490,140.53,Interpolated (Month),7933
2021,3,Europe,Model Y,9365,9687,86116.21,100,562,789.47,Estimated (Region),14286
2025,5,Middle East,Model S,12152,13861,50299.72,82,487,887.7,Official (Quarter),3797
2024,2,Middle East,Model 3,16451,18505,58505.78,82,484,1194.34,Interpolated (Month),8775
2017,6,North America,Model 3,6303,6678,68499.34,60,336,317.67,Interpolated (Month),8796
2021,1,Middle East,Model S,8899,9334,93632.01,100,552,736.84,Official (Quarter),3286
2017,7,Middle East,Model X,4965,5147,54041.25,82,467,347.8,Estimated (Region),5810
2018,4,Asia,Cybertruck,6334,6575,50902.82,100,577,548.21,Interpolated (Month),13213
2016,10,Middle East,Model S,7230,7892,69647.83,100,560,607.32,Official (Quarter),9198
2022,5,Europe,Cybertruck,12897,14591,106099.18,75,447,864.74,Estimated (Region),4181
2025,7,North America,Cybertruck,5648,6470,100906.96,60,340,288.05,Interpolated (Month),4114
2021,8,Asia,Model Y,5288,5423,65878.6,120,694,550.48,Official (Quarter),8081
2017,9,Asia,Model S,11877,11996,56644.26,75,449,799.92,Estimated (Region),6919
2019,3,North America,Model 3,11351,12709,110505.64,60,343,584.01,Interpolated (Month),8701
2023,12,Asia,Model 3,9504,10285,58123.74,82,451,642.95,Estimated (Region),3613
2016,9,Asia,Cybertruck,12055,13630,103624.53,100,589,1065.06,Official (Quarter),10979
2017,4,North America,Cybertruck,10057,10390,52725.1,120,662,998.66,Estimated (Region),5102
2021,4,North America,Model Y,4781,5355,80907.38,60,344,246.7,Estimated (Region),13185
2018,6,Europe,Cybertruck,9691,10853,88828.09,60,354,514.59,Official (Quarter),10577
2015,2,Asia,Model S,12347,12514,108471.17,82,464,859.35,Interpolated (Month),5238
2017,3,Europe,Model X,18358,19736,97573.42,120,664,1828.46,Official (Quarter),6296
2022,9,Middle East,Cybertruck,8801,9121,119417.11,120,671,885.82,Interpolated (Month),9906
2025,2,North America,Cybertruck,12396,12952,75141.48,82,480,892.51,Official (Quarter),10335
2025,6,North America,Model X,8118,8480,82937.9,82,454,552.84,Estimated (Region),3551
2021,1,Europe,Model Y,6006,6528,113282.45,120,679,611.71,Estimated (Region),11043
2016,9,Asia,Model 3,8273,9112,72757.28,120,701,869.91,Official (Quarter),3835
2022,4,Europe,Model 3,6584,6812,105856.02,100,578,570.83,Interpolated (Month),3069
2015,4,Europe,Model X,8458,9039,88193.18,120,716,908.39,Interpolated (Month),7633
2025,4,North America,Model X,8085,8158,66600.37,100,571,692.48,Official (Quarter),11766
2017,11,Asia,Model Y,12725,12726,110946.83,60,353,673.79,Official (Quarter),10527
2019,5,Europe,Model Y,11892,12905,69226.61,82,470,838.39,Interpolated (Month),7005
2023,9,Middle East,Cybertruck,7649,8709,104272.1,120,694,796.26,Interpolated (Month),11347
2016,8,Europe,Model X,14658,16528,89285.6,120,691,1519.3,Estimated (Region),4377
2015,12,Middle East,Model X,15316,17145,83706.56,75,416,955.72,Interpolated (Month),4502
2025,6,Middle East,Cybertruck,14633,14680,101705.69,100,597,1310.39,Official (Quarter),13347
2025,9,Asia,Model S,7957,8516,111167.38,60,331,395.07,Official (Quarter),13669
2015,6,Europe,Cybertruck,9777,10705,66810.19,82,454,665.81,Estimated (Region),4546
2017,7,Middle East,Model Y,14085,14963,80026.1,120,692,1462.02,Estimated (Region),11357
2022,12,Middle East,Model 3,4224,4317,95768.1,120,700,443.52,Estimated (Region),12025
2022,2,North America,Model 3,6869,7674,115156.54,75,421,433.78,Estimated (Region),9923
2015,9,North America,Model Y,7812,8720,81730.22,100,576,674.96,Estimated (Region),8289
2021,10,Europe,Model X,9106,9660,97568.63,60,332,453.48,Official (Quarter),10124
2018,11,Middle East,Model X,7086,7874,88267.41,75,445,472.99,Estimated (Region),9647
2016,1,Asia,Model X,10152,10455,97615.98,60,332,505.57,Official (Quarter),3367
2024,12,North America,Model S,8547,8647,79830.61,120,716,917.95,Interpolated (Month),5612
2020,5,Middle East,Cybertruck,9728,10431,86422.65,120,718,1047.71,Interpolated (Month),14589
2021,5,North America,Model 3,8739,9597,65989.81,82,462,605.61,Interpolated (Month),6778
2023,8,Europe,Cybertruck,7527,8034,88063.37,100,555,626.62,Interpolated (Month),14185
2024,5,Middle East,Cybertruck,15342,15732,50011.04,75,439,1010.27,Interpolated (Month),4333
2020,10,Europe,Model 3,7703,8579,92420.97,120,694,801.88,Official (Quarter),3642
2024,2,Europe,Cybertruck,7689,8468,73864.15,75,432,498.25,Estimated (Region),13086
2025,11,North America,Cybertruck,15743,16485,55926.89,120,687,1622.32,Interpolated (Month),11977
2016,10,Asia,Model X,10492,11662,85438.62,75,436,686.18,Interpolated (Month),3851
2018,3,Asia,Model X,13571,15334,70260.77,120,688,1400.53,Official (Quarter),10432
2020,1,North America,Cybertruck,12259,13450,52050.96,100,580,1066.53,Official (Quarter),9114
2018,4,North America,Model 3,13029,13284,92419.79,100,592,1156.98,Interpolated (Month),3539
2019,6,North America,Cybertruck,11949,13109,58984.49,60,349,625.53,Official (Quarter),14789
2025,6,Asia,Model X,9651,10848,51726.46,75,437,632.62,Official (Quarter),14189
2023,10,Middle East,Model X,4490,4791,109589.75,100,588,396.02,Official (Quarter),6457
2023,10,Asia,Model S,9602,10279,72016.23,60,351,505.55,Official (Quarter),12915
2025,11,Asia,Model 3,8454,8870,107424.15,60,335,424.81,Estimated (Region),8575
2021,8,Middle East,Cybertruck,9993,9998,66905.44,100,575,861.9,Interpolated (Month),7559
2016,12,Asia,Model 3,3988,4307,110897.84,120,667,399.0,Interpolated (Month),12486
2020,12,Asia,Model X,14723,15352,66744.78,60,353,779.58,Interpolated (Month),3676
2023,5,Asia,Model S,10226,11530,80384.98,75,447,685.65,Official (Quarter),10083
2023,4,Asia,Model X,8362,8893,75237.3,120,707,886.79,Official (Quarter),9288
2024,12,North America,Model Y,11479,12534,87170.22,100,584,1005.56,Interpolated (Month),10648
2018,4,Europe,Model 3,10049,10153,56291.38,100,580,874.26,Estimated (Region),7091
2022,11,North America,Model Y,7778,8204,115530.24,82,453,528.52,Official (Quarter),11080
2025,3,North America,Model 3,6581,6910,64552.18,60,354,349.45,Interpolated (Month),10494
2021,5,Middle East,Model S,15090,16520,67998.3,100,597,1351.31,Interpolated (Month),5037
2015,6,North America,Model S,8199,8753,59041.16,120,717,881.8,Estimated (Region),10274
2016,4,Middle East,Model S,12031,13690,84787.44,100,599,1080.99,Estimated (Region),13217
2017,1,Middle East,Model Y,8095,9052,112431.05,100,571,693.34,Estimated (Region),13919
2018,6,Middle East,Model 3,16782,18992,89051.16,75,448,1127.75,Interpolated (Month),3584
2021,1,Europe,Model 3,11739,13015,112633.34,75,416,732.51,Estimated (Region),14882
2019,7,North America,Model Y,13026,14158,61655.25,100,585,1143.03,Official (Quarter),5110
2016,2,North America,Model 3,8517,8725,77375.71,75,448,572.34,Estimated (Region),6097
2021,3,Middle East,Cybertruck,5611,6402,112445.2,100,576,484.79,Official (Quarter),9523
2024,3,Europe,Cybertruck,8489,8936,61697.01,82,452,575.55,Official (Quarter),7628
2018,5,North America,Model 3,14549,16062,99042.8,82,481,1049.71,Official (Quarter),13474
2017,7,North America,Model X,7576,8078,95452.56,82,489,555.7,Interpolated (Month),3768
2023,10,Middle East,Model Y,14734,15978,61356.07,100,565,1248.71,Interpolated (Month),13799
2015,9,Middle East,Cybertruck,6086,6274,50769.71,120,668,609.82,Official (Quarter),13800
2016,5,North America,Model X,10226,11707,80274.85,120,678,1039.98,Estimated (Region),9073
2020,1,Europe,Model Y,8304,8877,70039.59,75,421,524.4,Interpolated (Month),10742
2022,12,Middle East,Model X,11779,12668,112583.82,60,358,632.53,Interpolated (Month),12688
2025,11,Asia,Model Y,8686,8798,91471.18,120,705,918.54,Estimated (Region),5288
2022,7,North America,Model 3,8531,9379,73919.83,120,701,897.03,Interpolated (Month),3236
2017,10,North America,Model X,7030,7700,91951.15,82,458,482.96,Official (Quarter),11461
2018,5,Asia,Model X,11713,12376,54342.57,60,340,597.36,Estimated (Region),9071
2018,3,Europe,Model X,7221,7258,77433.74,82,479,518.83,Estimated (Region),5321
2023,6,Asia,Model X,13321,14199,70849.31,82,469,937.13,Estimated (Region),3854
2022,9,Asia,Cybertruck,9064,9252,102371.33,100,573,779.05,Official (Quarter),12395
2016,3,Asia,Model 3,15568,16533,58532.03,60,335,782.29,Estimated (Region),11173
2015,8,North America,Model 3,16705,18976,93696.66,82,455,1140.12,Estimated (Region),14277
2023,9,North America,Model 3,8845,9670,96317.25,82,463,614.29,Estimated (Region),6840
2019,9,Middle East,Model S,10972,11213,61176.64,75,442,727.44,Interpolated (Month),10395
2020,1,Europe,Model X,12267,13257,85609.42,82,460,846.42,Estimated (Region),11937
2017,9,Middle East,Model X,10095,10441,91779.63,82,489,740.47,Estimated (Region),14149
2019,8,North America,Model Y,8798,9658,78363.8,75,434,572.75,Official (Quarter),4289
2025,7,Middle East,Model Y,9589,10815,67300.15,60,330,474.66,Official (Quarter),10430
2021,12,Europe,Model X,10220,10830,61910.68,75,422,646.93,Estimated (Region),6158
2017,5,Europe,Model Y,3928,4343,107198.97,75,432,254.53,Estimated (Region),14604
2017,2,Europe,Cybertruck,14501,16437,70118.67,60,341,741.73,Interpolated (Month),3697
2023,5,Middle East,Model S,11264,12716,99013.18,82,473,799.18,Estimated (Region),10314
2023,11,Europe,Cybertruck,15370,16023,94806.33,100,580,1337.19,Interpolated (Month),4841
2022,2,Asia,Model X,10212,11322,80523.38,120,697,1067.66,Official (Quarter),7086
2017,7,Europe,Model S,2321,2587,78676.97,120,699,243.36,Interpolated (Month),6122
2016,1,Europe,Model X,7412,7789,107037.76,60,332,369.12,Interpolated (Month),13737
2019,7,Europe,Cybertruck,4589,5205,57243.25,120,699,481.16,Official (Quarter),13883
2025,10,Europe,Model 3,7677,8705,119881.22,75,419,482.5,Official (Quarter),4444
2024,12,Middle East,Model S,6156,6299,94129.52,60,352,325.04,Interpolated (Month),13315
2021,11,Asia,Model S,4017,4053,72785.23,82,456,274.76,Interpolated (Month),11519
2019,11,North America,Model 3,9770,10883,64419.17,75,439,643.35,Official (Quarter),3253
2016,6,Europe,Model X,13711,15380,95953.5,82,456,937.83,Estimated (Region),7059
2024,12,North America,Model 3,9134,9485,57062.22,82,475,650.8,Estimated (Region),11158
2022,10,Asia,Cybertruck,8838,9805,106771.08,120,711,942.57,Official (Quarter),14899
2015,2,Europe,Cybertruck,5325,5514,100975.14,82,466,372.22,Interpolated (Month),10587
2025,1,North America,Model 3,2960,3135,62589.11,82,462,205.13,Interpolated (Month),8460
2018,4,North America,Model X,6612,7086,115020.17,100,566,561.36,Interpolated (Month),8584
2015,7,Middle East,Model S,6812,6939,101160.72,120,716,731.61,Estimated (Region),5174
2022,8,North America,Model S,13179,14454,107870.94,82,455,899.47,Official (Quarter),9057
2021,6,Middle East,Model 3,6935,7185,115528.79,120,691,718.81,Interpolated (Month),7377
2023,4,Europe,Cybertruck,6051,6712,116674.39,100,591,536.42,Estimated (Region),13834
2020,10,Middle East,Model Y,11829,13504,77739.41,60,350,621.02,Interpolated (Month),8871
2024,8,Asia,Model 3,4363,4926,102724.94,82,473,309.55,Interpolated (Month),7347
2020,7,North America,Model X,2130,2389,110700.65,100,583,186.27,Interpolated (Month),3563
2018,2,Europe,Model 3,14802,15759,76532.83,82,488,1083.51,Estimated (Region),6014
2015,8,Middle East,Model X,10293,10639,81670.77,100,557,859.98,Official (Quarter),5116
2016,11,Europe,Model S,6051,6905,96800.09,60,350,317.68,Official (Quarter),7343
2022,11,North America,Model X,9357,10368,88836.47,82,468,656.86,Official (Quarter),9789
2020,4,North America,Model S,11163,11497,75988.96,60,345,577.69,Official (Quarter),11705
2022,12,North America,Cybertruck,4639,4898,73303.85,60,335,233.11,Estimated (Region),10287
2019,4,Europe,Model S,12017,12889,105581.01,100,578,1041.87,Interpolated (Month),7104
2023,9,Europe,Model X,5499,5702,96785.25,60,352,290.35,Official (Quarter),8377
2024,5,Middle East,Model Y,8707,9536,109940.95,75,430,561.6,Interpolated (Month),5600
2016,5,Asia,Model X,9938,10101,88357.16,60,343,511.31,Estimated (Region),13132
2024,5,Europe,Model S,9655,9911,75453.94,82,466,674.88,Official (Quarter),14918
2017,2,Middle East,Model Y,10693,11944,82059.7,75,427,684.89,Official (Quarter),6634
2023,5,Asia,Model X,10595,11246,119356.09,82,470,746.95,Estimated (Region),9646
2021,11,Asia,Model Y,5293,5470,63164.1,100,571,453.35,Interpolated (Month),10899
2015,8,Europe,Cybertruck,5021,5368,116309.83,75,418,314.82,Official (Quarter),10034
2017,3,Asia,Model X,18097,18295,93564.03,82,491,1332.84,Estimated (Region),5281
2018,11,North America,Model Y,2125,2299,56121.26,82,466,148.54,Interpolated (Month),7962
2022,3,North America,Cybertruck,7888,8484,82503.22,82,461,545.46,Interpolated (Month),9060
2020,11,Europe,Model 3,5000,5740,89280.51,82,479,359.25,Interpolated (Month),6905
2016,6,Asia,Model Y,14693,14788,61537.04,75,417,919.05,Interpolated (Month),11711
2018,12,North America,Model S,13800,13902,67994.39,120,687,1422.09,Estimated (Region),5723
2015,11,Europe,Model Y,7449,7695,63050.68,100,588,657.0,Interpolated (Month),7201
2017,3,North America,Model 3,16645,19120,88113.76,82,490,1223.41,Interpolated (Month),3907
2016,1,Middle East,Model X,9845,11192,64746.35,100,581,857.99,Estimated (Region),10578
2017,5,Europe,Model S,5599,6209,89345.1,82,489,410.69,Estimated (Region),8955
2021,4,Europe,Model Y,6976,7095,78767.24,82,477,499.13,Interpolated (Month),11544
2020,4,Asia,Model 3,11669,12273,106539.17,120,674,1179.74,Official (Quarter),3759
2020,12,Europe,Model S,14367,16245,81271.77,100,567,1221.91,Estimated (Region),4658
2025,6,North America,Model S,5082,5510,98496.59,82,472,359.81,Official (Quarter),8210
2023,9,Middle East,Model X,9521,10178,89652.66,82,457,652.66,Official (Quarter),8629
2015,3,Middle East,Model X,10745,10785,117385.39,100,591,952.54,Estimated (Region),11351
2017,9,Europe,Cybertruck,8946,10154,119731.04,100,591,793.06,Estimated (Region),13138
2017,7,Asia,Model S,9498,10002,85394.39,100,597,850.55,Estimated (Region),13515
2022,2,Europe,Model Y,12927,14163,88739.94,120,660,1279.77,Interpolated (Month),11358
2024,1,Middle East,Model 3,10132,10885,115129.64,82,487,740.14,Interpolated (Month),12429
2021,8,Asia,Cybertruck,4842,5323,109677.71,60,337,244.76,Official (Quarter),8898
2015,10,Middle East,Cybertruck,10786,11162,51708.05,75,445,719.97,Official (Quarter),3255
2015,12,Europe,Cybertruck,9736,10358,81597.09,60,334,487.77,Official (Quarter),12537
2024,4,Europe,Model Y,15319,17286,58222.35,60,350,804.25,Official (Quarter),7906
2023,1,North America,Cybertruck,6048,6284,85833.15,60,339,307.54,Official (Quarter),5011
2020,8,Middle East,Model 3,12638,14358,58573.7,120,692,1311.82,Estimated (Region),13553
2024,3,Middle East,Cybertruck,13546,15290,119902.8,100,581,1180.53,Estimated (Region),12541
2017,12,North America,Model S,12033,12123,52443.81,82,473,853.74,Estimated (Region),8258
2019,10,Europe,Model 3,6836,7478,67723.92,82,483,495.27,Estimated (Region),12813
2015,4,Europe,Cybertruck,7509,8426,69729.83,75,416,468.56,Official (Quarter),11360
2023,7,North America,Cybertruck,8712,9269,92433.55,75,433,565.84,Interpolated (Month),10816
2018,10,North America,Model X,8168,8418,79308.66,120,673,824.56,Official (Quarter),3002
2018,6,Middle East,Model Y,8352,9537,108951.58,120,677,848.15,Interpolated (Month),3926
2022,9,Asia,Model S,12998,13364,110176.59,60,337,657.05,Estimated (Region),5717
2024,7,Europe,Model Y,4031,4541,81730.98,60,351,212.23,Interpolated (Month),4146
2019,11,Middle East,Cybertruck,10931,11121,117908.18,82,451,739.48,Estimated (Region),12632
2022,10,Asia,Model 3,10502,11504,102589.12,60,350,551.35,Interpolated (Month),5380
2017,10,Middle East,Cybertruck,2856,2917,93679.89,100,563,241.19,Estimated (Region),8854
2023,6,Asia,Model Y,6376,7139,67031.13,82,480,459.07,Official (Quarter),3820
2016,2,Middle East,Cybertruck,11687,12260,96731.54,60,354,620.58,Estimated (Region),12147
2025,3,North America,Model Y,9324,10053,104529.2,100,567,793.01,Estimated (Region),5144
2024,10,Middle East,Model 3,13290,13716,118042.95,75,417,831.29,Official (Quarter),4213
